Genus	Species	Functions	Note1
Azospirillum	Azospirillum lipferum	Stress	drought stress
Pseudomonas	Pseudomonas putida	Stress	drought stress
Bacillus	Bacillus amyloliquefaciens	Stress	drought stress
Azospirillum	Azospirillum brasilense	Stress	drought stress
Rhizobium	Rhizobium leguminosarum	Stress	drought stress
Mesorhizobium	Mesorhizobium ciceri	Stress	drought stress
Rhizobium	Rhizobium phaseoli	Stress	drought stress
Bacillus	Bacillus thuringiensis	Stress	drought stress
Azospirilum	Azospirilum Brasilense	Stress	drought stress
Phyllobacterium	Phyllobacterium brassicacearum	Stress	drought stress
Pseudomonas	Pseudomonas libanensis	Stress	drought stress
Pseudomonas	Pseudomonas reactans	Stress	drought stress
Sinorhizobium	Sinorhizobium medicae	Stress	drought stress
Brachybacterium	Brachybacterium saurashtrense	Stress	Salinity stress
Brevibacterium	Brevibacterium casei	Stress	Salinity stress
Haererohalobacter	Haererohalobacter JG-11	Stress	Salinity stress
Rhizobium	Rhizobium spp.	Stress	Salinity stress
Pseudomonas	Pseudomonas spp.	Stress	Salinity stress
Azospirillum	Azospirillum sp.	Stress	Salinity stress
Serratia	Serratia sp.	Stress	Salinity stress
Enterobacter	Enterobacter sp.	Stress	Salinity stress
Hartmannibacter	Hartmannibacter diazotrophicus	Stress	Salinity stress
Pseudomonas	Pseudomonas putida	Stress	Salinity stress
Bacillus	Bacillus amyloliquefaciens	Stress	Salinity stress
Pseudomonas	Pseudomonas pseudoalcaligenes	Stress	Salinity stress
Bacillus	Bacillus pumilus	Stress	Salinity stress
Acinetobacter	Acinetobacter spp.	Stress	Salinity stress
Bacllus	Bacllus thuringiensis	Bioremediation	Heavy metal
Thiobacillus	Thiobacillus thiooxidans	Bioremediation	Heavy metal
Pseudomonas	Pseudomonas putida	Bioremediation	Heavy metal
Pseudomonas	Pseudomonas spp.	Bioremediation	Heavy metal
Bacillus	Bacillus pumilus	Bioremediation	Heavy metal
Achromobacter	Achromobacter sp.	Bioremediation	Heavy metal
Stenotrophomonas	Stenotrophomonas sp.	Bioremediation	Heavy metal
Bradyrhizobium	Bradyrhizobium japonicum	Bioremediation	Heavy metal
Enterobacter	Enterobacter sp.	Bioremediation	Heavy metal
Klebsiella	Klebsiella sp.	Bioremediation	Heavy metal
Pseudomonas	Pseudomonas brassicacearum	Bioremediation	Heavy metal
Rhizobium	Rhizobium leguminosarum	Bioremediation	Heavy metal
Glomus	Glomus etunicatu	Bioremediation	Heavy metal
Glomus	Glomus fasciculatum	Bioremediation	Heavy metal
Claroideoglomus	Claroideoglomus claroideum	Bioremediation	Heavy metal
Funneliformis	Funneliformis mosseae	Bioremediation	Heavy metal
Pseudomonas	Pseudomonas aeruginosa	Stress	Biotic stress
Paenibacillus	Paenibacillus sp.	Stress	Biotic stress
Bacillus	Bacillus subtilis	Stress	Biotic stress
Pseudomonas	Pseudomonas Fluorescens	Stress	Biotic stress
Azotobacter	Azotobacter chroococcum	Stress	Biotic stress
Pseudomonas	Pseudomonas putida	Stress	Biotic stress
Bacillus	Bacillus amyloliquefaciens	Stress	Biotic stress
Bacillus	Bacillus sp.	Stress	Biotic stress
Brevibacterium	Brevibacterium iodinum	Stress	Biotic stress
Pseudomonas	Pseudomonas syringae	ice formation	ice formation
Erwinia	Erwinia herbicola	ice formation	ice formation
Pseudomonas	Pseudomonas spp.	ice formation	ice formation
Erwinia	Erwinia stewartii	ice formation	ice formation
Frankia	Frankia spp.	PGPB	N-fixing
Gluconacetobacter	Gluconacetobacter diazotrophicus	PGPB	N-fixing
Herbaspirillum	Herbaspirillum seropedicae	PGPB	N-fixing
Herbaspirillum	Herbaspirillum rubrisubalbicans	PGPB	N-fixing
Burkholderia	Burkholderia silvatlantica	PGPB	N-fixing
Parasponia	Parasponia spp.	PGPB	N-fixing
Rhizobium	Rhizobium spp.	PGPB	N-fixing
Bradyrhizobium	Bradyrhizobium spp.	PGPB	N-fixing
Mesorhizobium	Mesorhizobium spp.	PGPB	N-fixing
Sinorhizobium	Sinorhizobium spp.	PGPB	N-fixing
